nohup: ignoring input
[NORMAL][1784893091][获取index单例成][searcher.hpp : 26]
[NORMAL][1784893092][当前已经建立的索引文档100][index.hpp : 90]
[NORMAL][1784893092][当前已经建立的索引文档200][index.hpp : 90]
[NORMAL][1784893092][当前已经建立的索引文档300][index.hpp : 90]
[NORMAL][1784893092][当前已经建立的索引文档400][index.hpp : 90]
[NORMAL][1784893093][当前已经建立的索引文档500][index.hpp : 90]
[NORMAL][1784893093][当前已经建立的索引文档600][index.hpp : 90]
[NORMAL][1784893093][当前已经建立的索引文档700][index.hpp : 90]
[NORMAL][1784893093][当前已经建立的索引文档800][index.hpp : 90]
[NORMAL][1784893094][当前已经建立的索引文档900][index.hpp : 90]
[NORMAL][1784893094][当前已经建立的索引文档1000][index.hpp : 90]
[NORMAL][1784893094][当前已经建立的索引文档1100][index.hpp : 90]
[NORMAL][1784893095][当前已经建立的索引文档1200][index.hpp : 90]
[NORMAL][1784893095][当前已经建立的索引文档1300][index.hpp : 90]
[NORMAL][1784893095][当前已经建立的索引文档1400][index.hpp : 90]
[NORMAL][1784893095][当前已经建立的索引文档1500][index.hpp : 90]
[NORMAL][1784893096][当前已经建立的索引文档1600][index.hpp : 90]
[NORMAL][1784893096][当前已经建立的索引文档1700][index.hpp : 90]
[NORMAL][1784893096][当前已经建立的索引文档1800][index.hpp : 90]
[NORMAL][1784893096][当前已经建立的索引文档1900][index.hpp : 90]
[NORMAL][1784893097][当前已经建立的索引文档2000][index.hpp : 90]
[NORMAL][1784893097][当前已经建立的索引文档2100][index.hpp : 90]
[NORMAL][1784893097][当前已经建立的索引文档2200][index.hpp : 90]
[NORMAL][1784893098][当前已经建立的索引文档2300][index.hpp : 90]
[NORMAL][1784893098][当前已经建立的索引文档2400][index.hpp : 90]
[NORMAL][1784893098][当前已经建立的索引文档2500][index.hpp : 90]
[NORMAL][1784893098][当前已经建立的索引文档2600][index.hpp : 90]
[NORMAL][1784893099][当前已经建立的索引文档2700][index.hpp : 90]
[NORMAL][1784893099][当前已经建立的索引文档2800][index.hpp : 90]
[NORMAL][1784893099][当前已经建立的索引文档2900][index.hpp : 90]
[NORMAL][1784893099][当前已经建立的索引文档3000][index.hpp : 90]
[NORMAL][1784893100][当前已经建立的索引文档3100][index.hpp : 90]
[NORMAL][1784893100][当前已经建立的索引文档3200][index.hpp : 90]
[NORMAL][1784893100][当前已经建立的索引文档3300][index.hpp : 90]
[NORMAL][1784893100][当前已经建立的索引文档3400][index.hpp : 90]
[NORMAL][1784893101][当前已经建立的索引文档3500][index.hpp : 90]
